
  ==========================================
  Studio Pro version: 9.6.5
  Started at: 25/10/2023 11:06:57
  ==========================================
  

[2023-10-25T16:11:09.361Z] : [warn]: There is a small amount of free memory (RAM) left, 90.33% of RAM is being used (14501 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-10-26T13:30:36.527Z] : [warn]: There is a small amount of free memory (RAM) left, 91.38% of RAM is being used (14670 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:33:36.531Z] : [warn]: There is a small amount of free memory (RAM) left, 92.38% of RAM is being used (14830 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:37:06.493Z] : [warn]: There is a small amount of free memory (RAM) left, 90.15% of RAM is being used (14471 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:40:06.496Z] : [warn]: There is a small amount of free memory (RAM) left, 92.92% of RAM is being used (14916 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:43:06.502Z] : [warn]: There is a small amount of free memory (RAM) left, 93.56% of RAM is being used (15019 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:51:06.501Z] : [warn]: There is a small amount of free memory (RAM) left, 92.7% of RAM is being used (14881 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:54:06.519Z] : [warn]: There is a small amount of free memory (RAM) left, 96.29% of RAM is being used (15457 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T13:57:06.527Z] : [warn]: There is a small amount of free memory (RAM) left, 96.76% of RAM is being used (15533 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:00:06.543Z] : [warn]: There is a small amount of free memory (RAM) left, 97.03% of RAM is being used (15576 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:03:06.560Z] : [warn]: There is a small amount of free memory (RAM) left, 94.08% of RAM is being used (15102 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:06:06.577Z] : [warn]: There is a small amount of free memory (RAM) left, 90.92% of RAM is being used (14595 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:09:06.593Z] : [warn]: There is a small amount of free memory (RAM) left, 90.57% of RAM is being used (14540 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:14:36.492Z] : [warn]: There is a small amount of free memory (RAM) left, 90.61% of RAM is being used (14545 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:21:06.485Z] : [warn]: There is a small amount of free memory (RAM) left, 90.77% of RAM is being used (14572 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:22:06.490Z] : [warn]: There is a small amount of free memory (RAM) left, 90.99% of RAM is being used (14607 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:25:06.495Z] : [warn]: There is a small amount of free memory (RAM) left, 95.88% of RAM is being used (15391 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:28:06.499Z] : [warn]: There is a small amount of free memory (RAM) left, 93.05% of RAM is being used (14938 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:31:06.510Z] : [warn]: There is a small amount of free memory (RAM) left, 94.18% of RAM is being used (15119 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:34:06.529Z] : [warn]: There is a small amount of free memory (RAM) left, 93.14% of RAM is being used (14952 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:37:36.490Z] : [warn]: There is a small amount of free memory (RAM) left, 90.13% of RAM is being used (14469 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T14:40:06.501Z] : [warn]: There is a small amount of free memory (RAM) left, 90.77% of RAM is being used (14571 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T15:06:06.490Z] : [warn]: There is a small amount of free memory (RAM) left, 90.33% of RAM is being used (14501 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T15:07:36.496Z] : [warn]: There is a small amount of free memory (RAM) left, 91.23% of RAM is being used (14645 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T17:35:06.507Z] : [warn]: There is a small amount of free memory (RAM) left, 91.39% of RAM is being used (14671 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T17:38:06.521Z] : [warn]: There is a small amount of free memory (RAM) left, 90.53% of RAM is being used (14532 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T17:44:06.496Z] : [warn]: There is a small amount of free memory (RAM) left, 90.02% of RAM is being used (14451 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:21:06.487Z] : [warn]: There is a small amount of free memory (RAM) left, 90.21% of RAM is being used (14482 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:23:36.485Z] : [warn]: There is a small amount of free memory (RAM) left, 90.53% of RAM is being used (14532 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:26:36.492Z] : [warn]: There is a small amount of free memory (RAM) left, 95.22% of RAM is being used (15285 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:29:36.504Z] : [warn]: There is a small amount of free memory (RAM) left, 97.51% of RAM is being used (15653 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:32:36.520Z] : [warn]: There is a small amount of free memory (RAM) left, 95.1% of RAM is being used (15266 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:35:36.554Z] : [warn]: There is a small amount of free memory (RAM) left, 95.13% of RAM is being used (15271 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:38:36.564Z] : [warn]: There is a small amount of free memory (RAM) left, 92.62% of RAM is being used (14868 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:41:36.575Z] : [warn]: There is a small amount of free memory (RAM) left, 93.68% of RAM is being used (15038 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:44:36.588Z] : [warn]: There is a small amount of free memory (RAM) left, 94.06% of RAM is being used (15100 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:47:36.614Z] : [warn]: There is a small amount of free memory (RAM) left, 94.01% of RAM is being used (15092 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:50:36.634Z] : [warn]: There is a small amount of free memory (RAM) left, 92.79% of RAM is being used (14895 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:53:36.649Z] : [warn]: There is a small amount of free memory (RAM) left, 91.61% of RAM is being used (14706 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:56:36.658Z] : [warn]: There is a small amount of free memory (RAM) left, 95.05% of RAM is being used (15259 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T18:59:36.674Z] : [warn]: There is a small amount of free memory (RAM) left, 94.52% of RAM is being used (15174 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:02:36.483Z] : [warn]: There is a small amount of free memory (RAM) left, 91.28% of RAM is being used (14653 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:05:36.487Z] : [warn]: There is a small amount of free memory (RAM) left, 91.33% of RAM is being used (14662 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:14:06.493Z] : [warn]: There is a small amount of free memory (RAM) left, 90.79% of RAM is being used (14574 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:17:06.501Z] : [warn]: There is a small amount of free memory (RAM) left, 92.56% of RAM is being used (14858 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:21:06.492Z] : [warn]: There is a small amount of free memory (RAM) left, 90.43% of RAM is being used (14517 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:24:06.497Z] : [warn]: There is a small amount of free memory (RAM) left, 90.9% of RAM is being used (14592 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:27:06.503Z] : [warn]: There is a small amount of free memory (RAM) left, 92.32% of RAM is being used (14820 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:40:36.491Z] : [warn]: There is a small amount of free memory (RAM) left, 90.9% of RAM is being used (14592 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:43:36.495Z] : [warn]: There is a small amount of free memory (RAM) left, 91.73% of RAM is being used (14725 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:46:36.503Z] : [warn]: There is a small amount of free memory (RAM) left, 90.48% of RAM is being used (14524 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:48:06.490Z] : [warn]: There is a small amount of free memory (RAM) left, 93.92% of RAM is being used (15077 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:51:06.499Z] : [warn]: There is a small amount of free memory (RAM) left, 93.93% of RAM is being used (15078 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T19:58:06.494Z] : [warn]: There is a small amount of free memory (RAM) left, 90.77% of RAM is being used (14572 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:00:06.486Z] : [warn]: There is a small amount of free memory (RAM) left, 91.41% of RAM is being used (14674 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:03:06.502Z] : [warn]: There is a small amount of free memory (RAM) left, 91.17% of RAM is being used (14635 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:22:36.491Z] : [warn]: There is a small amount of free memory (RAM) left, 90.69% of RAM is being used (14559 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:25:36.493Z] : [warn]: There is a small amount of free memory (RAM) left, 91.25% of RAM is being used (14648 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:29:36.482Z] : [warn]: There is a small amount of free memory (RAM) left, 90.99% of RAM is being used (14606 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:32:36.491Z] : [warn]: There is a small amount of free memory (RAM) left, 90.81% of RAM is being used (14578 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:35:36.493Z] : [warn]: There is a small amount of free memory (RAM) left, 92.35% of RAM is being used (14825 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:40:36.482Z] : [warn]: There is a small amount of free memory (RAM) left, 90.24% of RAM is being used (14486 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:42:06.488Z] : [warn]: There is a small amount of free memory (RAM) left, 90.06% of RAM is being used (14458 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:50:36.490Z] : [warn]: There is a small amount of free memory (RAM) left, 90.08% of RAM is being used (14461 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:52:06.493Z] : [warn]: There is a small amount of free memory (RAM) left, 90.09% of RAM is being used (14462 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:53:06.494Z] : [warn]: There is a small amount of free memory (RAM) left, 91.02% of RAM is being used (14611 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:56:06.504Z] : [warn]: There is a small amount of free memory (RAM) left, 91.1% of RAM is being used (14624 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T20:59:06.512Z] : [warn]: There is a small amount of free memory (RAM) left, 95.26% of RAM is being used (15292 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:02:06.522Z] : [warn]: There is a small amount of free memory (RAM) left, 94.01% of RAM is being used (15091 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:05:06.532Z] : [warn]: There is a small amount of free memory (RAM) left, 93.2% of RAM is being used (14962 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:11:06.507Z] : [warn]: There is a small amount of free memory (RAM) left, 90.36% of RAM is being used (14506 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

